Year,Month,Date,Product Subcategory Name,Product Category,Territory Name,Territory Group,Sales
2007,Feb,01/02/2007,Mountain Bikes,Bikes,Northwest,North America,330444.02
2007,Feb,01/02/2007,Road Bikes,Bikes,Canada,North America,319316.32
2007,Feb,01/02/2007,Road Bikes,Bikes,Southwest,North America,280995.80
2007,Feb,01/02/2007,Mountain Bikes,Bikes,Southwest,North America,264974.22
2007,Feb,01/02/2007,Mountain Bikes,Bikes,Southeast,North America,186914.45
2007,Feb,01/02/2007,Road Bikes,Bikes,Northwest,North America,181877.51
2007,Feb,01/02/2007,Road Bikes,Bikes,Australia,Pacific,157361.10
2007,Feb,01/02/2007,Mountain Bikes,Bikes,Central,North America,140189.59
2007,Feb,01/02/2007,Road Bikes,Bikes,Northeast,North America,106211.37
2007,Feb,01/02/2007,Road Bikes,Bikes,Southeast,North America,104759.82
2007,Feb,01/02/2007,Mountain Bikes,Bikes,Canada,North America,99549.71
2007,Feb,01/02/2007,Road Bikes,Bikes,Germany,Europe,44337.44
2007,Feb,01/02/2007,Road Bikes,Bikes,Central,North America,40265.28
2007,Feb,01/02/2007,Road Bikes,Bikes,United Kingdom,Europe,33602.63
2007,Feb,01/02/2007,Road Bikes,Bikes,France,Europe,23566.91
2007,Feb,01/02/2007,Mountain Bikes,Bikes,Northeast,North America,20324.94
2007,Feb,01/02/2007,Mountain Frames,Components,Central,North America,18734.83
2007,Feb,01/02/2007,Mountain Frames,Components,Southeast,North America,15645.40
2007,Feb,01/02/2007,Mountain Frames,Components,Northwest,North America,15574.01
2007,Feb,01/02/2007,Mountain Bikes,Bikes,United Kingdom,Europe,13574.96
2007,Feb,01/02/2007,Road Frames,Components,Canada,North America,8503.69
2007,Feb,01/02/2007,Mountain Frames,Components,Canada,North America,8385.42
2007,Feb,01/02/2007,Mountain Bikes,Bikes,Australia,Pacific,6799.98
2007,Feb,01/02/2007,Mountain Bikes,Bikes,France,Europe,6749.98
2007,Feb,01/02/2007,Mountain Bikes,Bikes,Germany,Europe,3374.99
2007,Feb,01/02/2007,Road Frames,Components,Southwest,North America,3105.26
2007,Feb,01/02/2007,Road Frames,Components,Southeast,North America,3078.47
2007,Feb,01/02/2007,Mountain Frames,Components,Southwest,North America,2978.59
2007,Feb,01/02/2007,Road Frames,Components,Northeast,North America,2715.42
2007,Feb,01/02/2007,Jerseys,Clothing,Canada,North America,1211.30
2007,Feb,01/02/2007,Jerseys,Clothing,Southeast,North America,894.05
2007,Feb,01/02/2007,Jerseys,Clothing,Southwest,North America,894.05
2007,Feb,01/02/2007,Jerseys,Clothing,Northwest,North America,663.33
2007,Feb,01/02/2007,Helmets,Accessories,Canada,North America,645.97
2007,Feb,01/02/2007,Jerseys,Clothing,Central,North America,634.49
2007,Feb,01/02/2007,Helmets,Accessories,Southeast,North America,464.29
2007,Feb,01/02/2007,Helmets,Accessories,Central,North America,322.98
2007,Feb,01/02/2007,Helmets,Accessories,Northwest,North America,322.98
2007,Feb,01/02/2007,Socks,Clothing,Southwest,North America,279.02
2007,Feb,01/02/2007,Helmets,Accessories,Southwest,North America,262.42
2007,Feb,01/02/2007,Jerseys,Clothing,Northeast,North America,173.04
2007,Feb,01/02/2007,Helmets,Accessories,Northeast,North America,141.31
2007,Feb,01/02/2007,Caps,Clothing,Southwest,North America,134.85
2007,Feb,01/02/2007,Caps,Clothing,Canada,North America,127.76
2007,Feb,01/02/2007,Socks,Clothing,Central,North America,102.60
2007,Feb,01/02/2007,Socks,Clothing,Northwest,North America,85.50
2007,Feb,01/02/2007,Caps,Clothing,Southeast,North America,77.80
2007,Feb,01/02/2007,Socks,Clothing,Southeast,North America,74.10
2007,Feb,01/02/2007,Caps,Clothing,Northwest,North America,67.42
2007,Feb,01/02/2007,Caps,Clothing,Central,North America,51.87
2007,Feb,01/02/2007,Caps,Clothing,Northeast,North America,41.49
2007,Feb,01/02/2007,Socks,Clothing,Canada,North America,28.50
2007,Mar,01/03/2007,Mountain Bikes,Bikes,Southwest,North America,287809.15
2007,Mar,01/03/2007,Road Bikes,Bikes,Southwest,North America,236163.28
2007,Mar,01/03/2007,Mountain Bikes,Bikes,Canada,North America,212819.37
2007,Mar,01/03/2007,Mountain Bikes,Bikes,Northwest,North America,186119.45
2007,Mar,01/03/2007,Road Bikes,Bikes,Australia,Pacific,158060.20
2007,Mar,01/03/2007,Road Bikes,Bikes,Canada,North America,140104.63
2007,Mar,01/03/2007,Road Bikes,Bikes,Central,North America,139754.22
2007,Mar,01/03/2007,Road Bikes,Bikes,Northwest,North America,122892.10
2007,Mar,01/03/2007,Mountain Bikes,Bikes,Southeast,North America,87419.74
2007,Mar,01/03/2007,Road Bikes,Bikes,Northeast,North America,81761.36
2007,Mar,01/03/2007,Mountain Bikes,Bikes,Australia,Pacific,74524.78
2007,Mar,01/03/2007,Mountain Bikes,Bikes,Central,North America,73244.78
2007,Mar,01/03/2007,Road Bikes,Bikes,Southeast,North America,71981.30
2007,Mar,01/03/2007,Road Bikes,Bikes,Germany,Europe,54373.15
2007,Mar,01/03/2007,Road Bikes,Bikes,United Kingdom,Europe,29325.26
2007,Mar,01/03/2007,Road Bikes,Bikes,France,Europe,28543.38
2007,Mar,01/03/2007,Mountain Frames,Components,Southwest,North America,24746.57
2007,Mar,01/03/2007,Mountain Frames,Components,Canada,North America,14423.98
2007,Mar,01/03/2007,Mountain Bikes,Bikes,France,Europe,13524.96
2007,Mar,01/03/2007,Mountain Frames,Components,Northwest,North America,9746.59
2007,Mar,01/03/2007,Road Frames,Components,Northeast,North America,8887.91
2007,Mar,01/03/2007,Mountain Bikes,Bikes,Northeast,North America,8129.98
2007,Mar,01/03/2007,Mountain Bikes,Bikes,United Kingdom,Europe,6774.98
2007,Mar,01/03/2007,Mountain Bikes,Bikes,Germany,Europe,6749.98
2007,Mar,01/03/2007,Mountain Frames,Components,Southeast,North America,5947.20
2007,Mar,01/03/2007,Road Frames,Components,Central,North America,2526.39
2007,Mar,01/03/2007,Road Frames,Components,Canada,North America,2331.47
2007,Mar,01/03/2007,Road Frames,Components,Southeast,North America,2007.25
2007,Mar,01/03/2007,Road Frames,Components,Southwest,North America,2007.25
2007,Mar,01/03/2007,Jerseys,Clothing,Southwest,North America,1672.74
2007,Mar,01/03/2007,Helmets,Accessories,Southwest,North America,1029.51
2007,Mar,01/03/2007,Jerseys,Clothing,Canada,North America,634.49
2007,Mar,01/03/2007,Jerseys,Clothing,Northeast,North America,576.81
2007,Mar,01/03/2007,Jerseys,Clothing,Central,North America,519.13
2007,Mar,01/03/2007,Helmets,Accessories,Canada,North America,403.73
2007,Mar,01/03/2007,Jerseys,Clothing,Northwest,North America,346.08
2007,Mar,01/03/2007,Helmets,Accessories,Central,North America,302.80
2007,Mar,01/03/2007,Helmets,Accessories,Northwest,North America,282.61
2007,Mar,01/03/2007,Socks,Clothing,Canada,North America,145.54
2007,Mar,01/03/2007,Helmets,Accessories,Northeast,North America,141.31
2007,Mar,01/03/2007,Caps,Clothing,Southwest,North America,114.10
2007,Mar,01/03/2007,Socks,Clothing,Northwest,North America,91.20
2007,Mar,01/03/2007,Socks,Clothing,Southeast,North America,62.70
2007,Mar,01/03/2007,Socks,Clothing,Southwest,North America,62.70
2007,Mar,01/03/2007,Caps,Clothing,Canada,North America,62.24
2007,Mar,01/03/2007,Socks,Clothing,Central,North America,57.00
2007,Mar,01/03/2007,Caps,Clothing,Northwest,North America,46.68
2007,Mar,01/03/2007,Caps,Clothing,Central,North America,41.49
2007,Mar,01/03/2007,Helmets,Accessories,Southeast,North America,40.37
2007,Mar,01/03/2007,Jerseys,Clothing,Southeast,North America,28.84
2007,Mar,01/03/2007,Socks,Clothing,Northeast,North America,28.50
2007,Mar,01/03/2007,Caps,Clothing,Southeast,North America,20.75
2007,Mar,01/03/2007,Caps,Clothing,Northeast,North America,5.19
2007,Apr,01/04/2007,Road Bikes,Bikes,Southwest,North America,258248.30
2007,Apr,01/04/2007,Road Bikes,Bikes,Canada,North America,213731.09
2007,Apr,01/04/2007,Mountain Bikes,Bikes,Southeast,North America,184919.45
2007,Apr,01/04/2007,Road Bikes,Bikes,Australia,Pacific,146626.29
2007,Apr,01/04/2007,Mountain Bikes,Bikes,Northwest,North America,115154.66
2007,Apr,01/04/2007,Mountain Bikes,Bikes,Australia,Pacific,77824.77
2007,Apr,01/04/2007,Road Bikes,Bikes,Northwest,North America,75798.63
2007,Apr,01/04/2007,Mountain Bikes,Bikes,Canada,North America,58304.83
2007,Apr,01/04/2007,Road Bikes,Bikes,Northeast,North America,57711.44
2007,Apr,01/04/2007,Mountain Bikes,Bikes,Central,North America,50834.85
2007,Apr,01/04/2007,Road Bikes,Bikes,Southeast,North America,47045.58
2007,Apr,01/04/2007,Road Bikes,Bikes,Central,North America,44515.04
2007,Apr,01/04/2007,Road Bikes,Bikes,France,Europe,40759.17
2007,Apr,01/04/2007,Road Bikes,Bikes,Germany,Europe,33519.85
2007,Apr,01/04/2007,Road Bikes,Bikes,United Kingdom,Europe,28626.16
2007,Apr,01/04/2007,Mountain Bikes,Bikes,Germany,Europe,20349.94
2007,Apr,01/04/2007,Mountain Bikes,Bikes,Southwest,North America,16924.95
2007,Apr,01/04/2007,Road Frames,Components,Canada,North America,15271.91
2007,Apr,01/04/2007,Road Frames,Components,Southwest,North America,11971.67
2007,Apr,01/04/2007,Mountain Frames,Components,Southeast,North America,10435.53
2007,Apr,01/04/2007,Mountain Frames,Components,Northwest,North America,8387.52
2007,Apr,01/04/2007,Mountain Frames,Components,Canada,North America,7481.65
2007,Apr,01/04/2007,Mountain Bikes,Bikes,United Kingdom,Europe,6749.98
2007,Apr,01/04/2007,Road Frames,Components,Northeast,North America,6061.14
2007,Apr,01/04/2007,Road Frames,Components,Southeast,North America,2726.67
2007,Apr,01/04/2007,Jerseys,Clothing,Southwest,North America,894.05
2007,Apr,01/04/2007,Road Frames,Components,Northwest,North America,735.75
2007,Apr,01/04/2007,Jerseys,Clothing,Canada,North America,692.17
2007,Apr,01/04/2007,Jerseys,Clothing,Southeast,North America,576.81
2007,Apr,01/04/2007,Helmets,Accessories,Southwest,North America,565.22
2007,Apr,01/04/2007,Road Frames,Components,Central,North America,551.81
2007,Apr,01/04/2007,Helmets,Accessories,Southeast,North America,423.92
2007,Apr,01/04/2007,Helmets,Accessories,Canada,North America,363.36
2007,Apr,01/04/2007,Jerseys,Clothing,Northeast,North America,288.40
2007,Apr,01/04/2007,Jerseys,Clothing,Northwest,North America,288.40
2007,Apr,01/04/2007,Jerseys,Clothing,Central,North America,201.88
2007,Apr,01/04/2007,Socks,Clothing,Southeast,North America,193.80
2007,Apr,01/04/2007,Helmets,Accessories,Northwest,North America,181.68
2007,Apr,01/04/2007,Socks,Clothing,Northwest,North America,160.17
2007,Apr,01/04/2007,Helmets,Accessories,Central,North America,141.31
2007,Apr,01/04/2007,Helmets,Accessories,Northeast,North America,100.93
2007,Apr,01/04/2007,Socks,Clothing,Central,North America,79.80
2007,Apr,01/04/2007,Caps,Clothing,Canada,North America,77.80
2007,Apr,01/04/2007,Caps,Clothing,Southwest,North America,51.87
2007,Apr,01/04/2007,Caps,Clothing,Central,North America,41.49
2007,Apr,01/04/2007,Caps,Clothing,Southeast,North America,41.49
2007,Apr,01/04/2007,Socks,Clothing,Canada,North America,34.20
2007,Apr,01/04/2007,Caps,Clothing,Northeast,North America,25.93
2007,Apr,01/04/2007,Caps,Clothing,Northwest,North America,10.37
2007,May,01/05/2007,Road Bikes,Bikes,Southwest,North America,419976.06
2007,May,01/05/2007,Mountain Bikes,Bikes,Southwest,North America,343393.99
2007,May,01/05/2007,Mountain Bikes,Bikes,Northwest,North America,287909.15
2007,May,01/05/2007,Road Bikes,Bikes,Canada,North America,258461.93
2007,May,01/05/2007,Mountain Bikes,Bikes,Central,North America,248084.27
2007,May,01/05/2007,Mountain Bikes,Bikes,Southeast,North America,226904.33
2007,May,01/05/2007,Road Bikes,Bikes,Northwest,North America,214376.30
2007,May,01/05/2007,Mountain Bikes,Bikes,Canada,North America,138774.59
2007,May,01/05/2007,Road Bikes,Bikes,Australia,Pacific,137988.78
2007,May,01/05/2007,Road Bikes,Bikes,Northeast,North America,116471.55
2007,May,01/05/2007,Road Bikes,Bikes,Southeast,North America,102952.27
2007,May,01/05/2007,Mountain Bikes,Bikes,Australia,Pacific,67699.80
2007,May,01/05/2007,Road Bikes,Bikes,Central,North America,53053.22
2007,May,01/05/2007,Road Bikes,Bikes,France,Europe,45036.53
2007,May,01/05/2007,Road Bikes,Bikes,Germany,Europe,38579.09
2007,May,01/05/2007,Mountain Frames,Components,Central,North America,30276.32
2007,May,01/05/2007,Mountain Frames,Components,Southeast,North America,29490.23
2007,May,01/05/2007,Mountain Frames,Components,Northwest,North America,23124.95
2007,May,01/05/2007,Road Frames,Components,Canada,North America,21316.65
2007,May,01/05/2007,Road Bikes,Bikes,United Kingdom,Europe,19289.55
2007,May,01/05/2007,Road Frames,Components,Southwest,North America,18116.64
2007,May,01/05/2007,Mountain Bikes,Bikes,Northeast,North America,14189.96
2007,May,01/05/2007,Road Frames,Components,Southeast,North America,13636.90
2007,May,01/05/2007,Mountain Bikes,Bikes,Germany,Europe,10174.97
2007,May,01/05/2007,Road Frames,Components,Northeast,North America,9756.87
2007,May,01/05/2007,Mountain Frames,Components,Canada,North America,8999.28
2007,May,01/05/2007,Mountain Frames,Components,Southwest,North America,8109.19
2007,May,01/05/2007,Mountain Bikes,Bikes,United Kingdom,Europe,6774.98
2007,May,01/05/2007,Mountain Bikes,Bikes,France,Europe,6749.98
2007,May,01/05/2007,Road Frames,Components,Northwest,North America,5609.43
2007,May,01/05/2007,Road Frames,Components,Central,North America,2889.17
2007,May,01/05/2007,Jerseys,Clothing,Southwest,North America,2163.03
2007,May,01/05/2007,Jerseys,Clothing,Canada,North America,1862.13
2007,May,01/05/2007,Helmets,Accessories,Southwest,North America,1453.43
2007,May,01/05/2007,Jerseys,Clothing,Northwest,North America,1355.50
2007,May,01/05/2007,Jerseys,Clothing,Central,North America,1283.40
2007,May,01/05/2007,Helmets,Accessories,Canada,North America,1061.14
2007,May,01/05/2007,Helmets,Accessories,Southeast,North America,1009.33
2007,May,01/05/2007,Jerseys,Clothing,Southeast,North America,922.89
2007,May,01/05/2007,Helmets,Accessories,Northwest,North America,908.39
2007,May,01/05/2007,Helmets,Accessories,Central,North America,767.09
2007,May,01/05/2007,Jerseys,Clothing,Northeast,North America,461.45
2007,May,01/05/2007,Helmets,Accessories,Northeast,North America,383.54
2007,May,01/05/2007,Socks,Clothing,Northwest,North America,322.05
2007,May,01/05/2007,Caps,Clothing,Canada,North America,172.19
2007,May,01/05/2007,Caps,Clothing,Southwest,North America,171.15
2007,May,01/05/2007,Socks,Clothing,Southwest,North America,153.90
2007,May,01/05/2007,Socks,Clothing,Canada,North America,148.20
2007,May,01/05/2007,Caps,Clothing,Northwest,North America,119.29
2007,May,01/05/2007,Caps,Clothing,Southeast,North America,108.92
2007,May,01/05/2007,Socks,Clothing,Central,North America,108.30
2007,May,01/05/2007,Socks,Clothing,Southeast,North America,108.30
2007,May,01/05/2007,Caps,Clothing,Northeast,North America,36.31
2007,May,01/05/2007,Caps,Clothing,Central,North America,31.12
2007,Jun,01/06/2007,Road Bikes,Bikes,Southwest,North America,249327.52
2007,Jun,01/06/2007,Road Bikes,Bikes,Northwest,North America,174690.53
2007,Jun,01/06/2007,Mountain Bikes,Bikes,Southwest,North America,169299.50
2007,Jun,01/06/2007,Road Bikes,Bikes,Canada,North America,155510.52
2007,Jun,01/06/2007,Road Bikes,Bikes,Central,North America,151350.03
2007,Jun,01/06/2007,Road Bikes,Bikes,Australia,Pacific,135109.60
2007,Jun,01/06/2007,Road Bikes,Bikes,Northeast,North America,97008.90
2007,Jun,01/06/2007,Mountain Bikes,Bikes,Canada,North America,92324.73
2007,Jun,01/06/2007,Mountain Bikes,Bikes,Northwest,North America,86293.50
2007,Jun,01/06/2007,Mountain Bikes,Bikes,Australia,Pacific,74549.78
2007,Jun,01/06/2007,Road Bikes,Bikes,Southeast,North America,60294.45
2007,Jun,01/06/2007,Mountain Bikes,Bikes,Southeast,North America,53356.09
2007,Jun,01/06/2007,Road Bikes,Bikes,Germany,Europe,41458.26
2007,Jun,01/06/2007,Mountain Frames,Components,Southwest,North America,36773.88
2007,Jun,01/06/2007,Road Bikes,Bikes,France,Europe,32121.65
2007,Jun,01/06/2007,Road Bikes,Bikes,United Kingdom,Europe,29325.26
2007,Jun,01/06/2007,Mountain Frames,Components,Northwest,North America,22611.40
2007,Jun,01/06/2007,Mountain Bikes,Bikes,Central,North America,19474.94
2007,Jun,01/06/2007,Mountain Frames,Components,Southeast,North America,16702.60
2007,Jun,01/06/2007,Mountain Frames,Components,Canada,North America,15556.13
2007,Jun,01/06/2007,Road Frames,Components,Northeast,North America,15132.56
2007,Jun,01/06/2007,Mountain Bikes,Bikes,Germany,Europe,13574.96
2007,Jun,01/06/2007,Mountain Bikes,Bikes,United Kingdom,Europe,13574.96
2007,Jun,01/06/2007,Road Frames,Components,Southwest,North America,10132.35
2007,Jun,01/06/2007,Mountain Bikes,Bikes,Northeast,North America,9293.72
2007,Jun,01/06/2007,Road Frames,Components,Central,North America,8714.95
2007,Jun,01/06/2007,Road Frames,Components,Canada,North America,5598.98
2007,Jun,01/06/2007,Road Frames,Components,Southeast,North America,4004.15
2007,Jun,01/06/2007,Mountain Bikes,Bikes,France,Europe,3374.99
2007,Jun,01/06/2007,Road Frames,Components,Northwest,North America,3083.83
2007,Jun,01/06/2007,Mountain Frames,Components,Northeast,North America,2986.48
2007,Jun,01/06/2007,Jerseys,Clothing,Southwest,North America,2336.07
2007,Jun,01/06/2007,Helmets,Accessories,Southwest,North America,1655.29
2007,Jun,01/06/2007,Jerseys,Clothing,Canada,North America,1643.90
2007,Jun,01/06/2007,Helmets,Accessories,Canada,North America,1069.88
2007,Jun,01/06/2007,Jerseys,Clothing,Central,North America,749.85
2007,Jun,01/06/2007,Helmets,Accessories,Central,North America,666.15
2007,Jun,01/06/2007,Jerseys,Clothing,Northwest,North America,605.65
2007,Jun,01/06/2007,Jerseys,Clothing,Northeast,North America,432.61
2007,Jun,01/06/2007,Helmets,Accessories,Northwest,North America,423.92
2007,Jun,01/06/2007,Helmets,Accessories,Northeast,North America,302.80
2007,Jun,01/06/2007,Caps,Clothing,Southwest,North America,280.07
2007,Jun,01/06/2007,Socks,Clothing,Southeast,North America,191.90
2007,Jun,01/06/2007,Jerseys,Clothing,Southeast,North America,173.04
2007,Jun,01/06/2007,Helmets,Accessories,Southeast,North America,161.49
2007,Jun,01/06/2007,Socks,Clothing,Canada,North America,131.10
2007,Jun,01/06/2007,Caps,Clothing,Canada,North America,129.66
2007,Jun,01/06/2007,Socks,Clothing,Northwest,North America,96.90
2007,Jun,01/06/2007,Socks,Clothing,Southwest,North America,85.50
2007,Jun,01/06/2007,Caps,Clothing,Northwest,North America,72.61
2007,Jun,01/06/2007,Socks,Clothing,Central,North America,51.30
2007,Jun,01/06/2007,Caps,Clothing,Northeast,North America,46.68
2007,Jun,01/06/2007,Caps,Clothing,Central,North America,41.49
2007,Jun,01/06/2007,Socks,Clothing,Northeast,North America,34.20
2007,Jun,01/06/2007,Caps,Clothing,Southeast,North America,20.75
2007,Jul,01/07/2007,Road Bikes,Bikes,Southwest,North America,362984.61
2007,Jul,01/07/2007,Road Bikes,Bikes,Canada,North America,318233.47
2007,Jul,01/07/2007,Mountain Bikes,Bikes,Canada,North America,216536.54
2007,Jul,01/07/2007,Road Bikes,Bikes,Central,North America,196963.00
2007,Jul,01/07/2007,Road Bikes,Bikes,Northwest,North America,177976.94
2007,Jul,01/07/2007,Mountain Bikes,Bikes,Northwest,North America,148843.40
2007,Jul,01/07/2007,Mountain Bikes,Bikes,Northeast,North America,142228.10
2007,Jul,01/07/2007,Road Bikes,Bikes,Northeast,North America,115797.42
2007,Jul,01/07/2007,Mountain Bikes,Bikes,Southwest,North America,114601.67
2007,Jul,01/07/2007,Road Bikes,Bikes,Australia,Pacific,83659.60
2007,Jul,01/07/2007,Road Bikes,Bikes,United Kingdom,Europe,81484.13
2007,Jul,01/07/2007,Mountain Bikes,Bikes,Southeast,North America,80231.11
2007,Jul,01/07/2007,Road Bikes,Bikes,France,Europe,70825.84
2007,Jul,01/07/2007,Road Frames,Components,Southwest,North America,68488.94
2007,Jul,01/07/2007,Road Frames,Components,Canada,North America,58975.00
2007,Jul,01/07/2007,Mountain Frames,Components,Canada,North America,53830.32
2007,Jul,01/07/2007,Road Bikes,Bikes,Southeast,North America,51676.83
2007,Jul,01/07/2007,Road Frames,Components,Central,North America,48943.63
2007,Jul,01/07/2007,Mountain Bikes,Bikes,Australia,Pacific,47330.15
2007,Jul,01/07/2007,Mountain Bikes,Bikes,France,Europe,45079.31
2007,Jul,01/07/2007,Road Bikes,Bikes,Germany,Europe,33097.39
2007,Jul,01/07/2007,Mountain Frames,Components,Southwest,North America,31871.43
2007,Jul,01/07/2007,Road Frames,Components,Northwest,North America,28038.45
2007,Jul,01/07/2007,Mountain Frames,Components,Northeast,North America,27413.92
2007,Jul,01/07/2007,Road Frames,Components,United Kingdom,Europe,22606.14
2007,Jul,01/07/2007,Mountain Frames,Components,Northwest,North America,21403.35
2007,Jul,01/07/2007,Wheels,Components,Canada,North America,19881.40
2007,Jul,01/07/2007,Road Frames,Components,Southeast,North America,18905.81
2007,Jul,01/07/2007,Road Frames,Components,Northeast,North America,15213.71
2007,Jul,01/07/2007,Mountain Bikes,Bikes,United Kingdom,Europe,14388.33
2007,Jul,01/07/2007,Mountain Frames,Components,Southeast,North America,13292.51
2007,Jul,01/07/2007,Wheels,Components,Southwest,North America,11313.68
2007,Jul,01/07/2007,Mountain Bikes,Bikes,Central,North America,9916.03
2007,Jul,01/07/2007,Wheels,Components,Northeast,North America,8955.79
2007,Jul,01/07/2007,Road Frames,Components,France,Europe,8713.93
2007,Jul,01/07/2007,Wheels,Components,Northwest,North America,8345.91
2007,Jul,01/07/2007,Wheels,Components,Southeast,North America,7601.15
2007,Jul,01/07/2007,Wheels,Components,Central,North America,6983.84
2007,Jul,01/07/2007,Mountain Bikes,Bikes,Germany,Europe,6169.62
2007,Jul,01/07/2007,Mountain Frames,Components,France,Europe,4953.15
2007,Jul,01/07/2007,Tights,Clothing,Canada,North America,4111.70
2007,Jul,01/07/2007,Bib-Shorts,Clothing,Canada,North America,3923.56
2007,Jul,01/07/2007,Tights,Clothing,Southwest,North America,3722.50
2007,Jul,01/07/2007,Wheels,Components,France,Europe,3662.53
2007,Jul,01/07/2007,Forks,Components,Canada,North America,3376.40
2007,Jul,01/07/2007,Tights,Clothing,Southeast,North America,3019.85
2007,Jul,01/07/2007,Bib-Shorts,Clothing,Southwest,North America,3002.07
2007,Jul,01/07/2007,Jerseys,Clothing,Canada,North America,2978.73
2007,Jul,01/07/2007,Bib-Shorts,Clothing,Southeast,North America,2861.68
2007,Jul,01/07/2007,Jerseys,Clothing,Southwest,North America,2815.78
2007,Jul,01/07/2007,Gloves,Clothing,Southeast,North America,2798.98
2007,Jul,01/07/2007,Gloves,Clothing,Canada,North America,2797.68
2007,Jul,01/07/2007,Gloves,Clothing,Northeast,North America,2758.04
2007,Jul,01/07/2007,Gloves,Clothing,Northwest,North America,2617.77
2007,Jul,01/07/2007,Wheels,Components,United Kingdom,Europe,2517.30
2007,Jul,01/07/2007,Bib-Shorts,Clothing,Central,North America,2429.73
2007,Jul,01/07/2007,Tights,Clothing,Central,North America,2392.93
2007,Jul,01/07/2007,Shorts,Clothing,Canada,North America,2348.01
2007,Jul,01/07/2007,Jerseys,Clothing,Southeast,North America,2196.68
2007,Jul,01/07/2007,Handlebars,Components,Canada,North America,2130.34
2007,Jul,01/07/2007,Headsets,Components,Canada,North America,1958.55
2007,Jul,01/07/2007,Handlebars,Components,Northeast,North America,1947.41
2007,Jul,01/07/2007,Jerseys,Clothing,Central,North America,1895.77
2007,Jul,01/07/2007,Helmets,Accessories,Canada,North America,1867.25
2007,Jul,01/07/2007,Bib-Shorts,Clothing,Northeast,North America,1835.80
